login,location,bio,pronouns,createdAt
Username_47165,"Dhaka,Bangladesh",Senior Web Instructor | Full Stack Web Developer | Programmer,he/him,2022-01-02T15:16:38Z
Username_47166,Remote,Build. Build.. Build...,,2022-01-02T15:14:59Z
Username_47167,Belo Horizonte,"Desenvolvedor Back-End,  Php | Laravel | Node.js | BootStrap | Sql | Vue.js
",,2022-01-02T15:18:48Z
Username_47168,Japan,Mamba mentality.,he/him,2022-01-02T15:13:04Z
Username_47169,Madagascar ,No rain no flower,,2022-01-02T15:12:47Z
Username_47170,"Islamabad, Pakistan","Crafting code, shaping reality. Let's innovate together.       
       ",he/him,2022-01-02T15:13:51Z
Username_47171,Iraq,possible dev,,2022-01-02T15:11:56Z
Username_47172,"New Delhi, INDIA",Aspiring B.Tech Student | Python Developer | Passionate about Technology and Innovation | Coding Enthusiast | Constantly Learning and Growing,he/him,2022-01-02T15:14:12Z
Username_47173,Belo Horizonte,Amante de programação e de fotografia. ,,2022-01-02T15:19:52Z
Username_47174,Evonetix Ltd,I put on my Robe and Wizard Hat.,,2022-01-02T15:15:43Z
Username_47175,Kolkata,Systems Engineer,,2022-01-02T15:12:55Z
Username_47176,"Tehran , Iran","Student of Physics of  Tarbiat Modares University, Interested in superconducting qubits, @deeplookweb writer",,2022-01-02T15:13:48Z
Username_47177,Rio de Janeiro - Zona Sul,"RJ-1997- 100% flexível, 100% motivado, 100% focado, 100% apaixonado por desenvolvimento de sistemas! 
telegram: @Lucasfmrj",,2022-01-02T15:14:32Z
Username_47178,Italy,I am a Management student with an interest in coding,,2022-01-02T15:18:35Z
Username_47179,United States,"Hi! 👋 I'm Lakshmi Narayana Kanamarlapudi, a Data Scientist and AI/ML Engineer with a strong focus on leveraging data to build intelligent and impactful solutio",he/him,2022-01-02T15:19:33Z
Username_47180,Buenos Aires Argentina,clausiusvar@gmail.com,,2022-01-02T15:13:59Z
Username_47181,"Sabah, Malaysia",Hello 👋👋👋,,2022-01-02T15:15:34Z
Username_47182,Hungary,I use python and Arch btw,he/him,2022-01-02T15:27:30Z
Username_47183,"Rangpur, Bangladesh","Building scalable web apps using React, Node.js, and Express. Passionate about crafting clean, maintainable code and constantly exploring new technologies. ",he/him,2022-01-02T15:24:36Z
Username_47184,Dhaka Bangladesh,Any fool can write code that a computer can understand. Good programmers write code that humans can understand.,,2022-01-02T15:25:20Z
Username_47185,"Martinsville, VA",Specializing in Risk Management and Business Development,,2022-01-02T15:25:41Z
Username_47186,"Goiânia, Goiás, Brasil","Atuo com desenvolvimento front-end usando React, Next e TypeScript, com foco em performance e experiência do usuário para aumento de conversões.",he/him,2022-01-02T15:27:14Z
Username_47187,India,I am keen to learn new things related to technology,,2022-01-02T15:28:55Z
Username_47188,"Athens, Greece","I am DevOps Engineer from Greece,I also founder of NgCloudOps is providing DevOps and Cloud Consulting Services. I love to work with cutting edge technologies.",,2022-01-02T15:22:54Z
Username_47189,"Meerut, india","Scrupulous and pioneering engineering student with a passion of building foundations with measured, meticulous and methodical steps.",he/him,2022-01-02T15:38:16Z
Username_47190,"İzmir, Turkey","Software Engineering Student at İzmir University of Economics
",he/him,2022-01-02T15:31:24Z
Username_47191,"Rupganj Upazila, Dhaka, Bangladesh ","Hi!
I'm Syed Jaid Ahmed and React/NextJS Developer.",he/him,2022-01-02T15:36:15Z
Username_47192,"Ambikapur, Surguja, Chhattisgarh, India","Hello, my name is Ibrahim Ansari. I'm studying Computer Science in M.Sc. I have knowledge of C, C++, Java, Python, HTML, CSS and Javascript ",,2022-01-02T15:38:20Z
Username_47193,Ethiopia,just coding and push it to forward the generation fast @woldu-coder,,2022-01-02T15:39:13Z
Username_47194,Ideall Technology,"Senior Software Engineer; former neuroscientist; lover of words, especially when combined.",,2022-01-02T15:32:40Z
Username_47195,Denmark - Copenhagen,"🚀 Software Engineer specializing in Java, Spring Boot, Microservices, and Cloud-native solutions.",he/him,2022-01-02T15:36:47Z
Username_47196,"Rajshahi, Bangladesh",Passionate programmer with an ambition to learn and grow continuously.,he/him,2022-01-02T15:33:53Z
Username_47197,"Student,广东科技学院","Engineering @mandolin-dev · Co-Organizer @HackCincy · Past: @astronomer, @apache Airflow contributor, etc",,2022-01-02T15:38:57Z
Username_47198,United States,IT Analyst | Software Engineer,,2022-01-02T15:47:59Z
Username_47199,Indore,Enthu cutlet | Problem Solver | Coder ,,2022-01-02T15:48:48Z
Username_47200,Istanbul,flutter dev,,2022-01-02T15:46:53Z
Username_47201,VIT Vellore,"A solution-oriented programmer with professional experience in Problem Solving , Data Science and AI ML . Passionate about Cloud AI on AWS.",he/him,2022-01-02T15:49:37Z
Username_47202,Kalaburgi,"Network Engineer 
CCNA | CCNP
Appearing BCA",he/him,2022-01-02T15:41:26Z
Username_47203,Tunis,IT Engineering Student ,,2022-01-02T15:40:44Z
Username_47204,Bangalore ,i am a software developer. ,,2022-01-02T15:48:38Z
Username_47205,Xi'an Jiaotong University,"My name is Zihang Wang. I am a graduate student at the School of Artificial Intelligence, Xi 'an Jiaotong University. My research direction is computer vision.",,2022-01-02T15:46:37Z
Username_47206,"BRAHMANBARIA, DHAKA, BANGLADESH","
Developer
",,2022-01-02T15:41:43Z
Username_47207,"La Pointe, WI",I am a recent graduate from the University of Minnesota who majored in Technical Writing and Communication. I love information architecture and content writing.,,2022-01-02T15:41:26Z
Username_47208,"Mountain View, California",Building agentic tools |  AI Product Builder,,2022-01-02T15:46:12Z
Username_47209,Dhaka,I'm pursuing my B.Sc. degree in zoology at university of Dhaka. My field of expertise is wildlife and bioinformatics.  ,,2022-01-02T15:42:17Z
Username_47210,Ukraine Odessa,"3D generalist
",,2022-01-02T15:43:11Z
Username_47211,Dehradun ,CEO at fixdukaan.in,,2022-01-02T15:49:19Z
Username_47212,"Aachen, Germany",Computer Science Student Aachen University of Applied Sciences - FH Aachen,,2022-01-02T15:58:34Z
Username_47213,"Delhi, India",I am an all-rounder.,he/him,2022-01-02T15:56:54Z
Username_47214,José Gonçalves de Minas ,"Olá sou aluno do curso Análise e Desenvolvimento de Sistemas na Estácio. Aqui estão alguns exemplos dos codigos que escrevi durante os meus estudos.
",,2022-01-02T15:58:24Z
Username_47215,"Dhaka , Bangladesh","SQA-Software Quality Assurance(Performance Testing,API Testing), And Programmer(JavaScript,Java,Paython,Node Js,React,Express,MongoDB)",,2022-01-02T15:50:38Z
Username_47216,Bloob Technology,👹,,2022-01-02T15:55:42Z
Username_47217,"H.No-01,2nd floor,NDEN STREET,YG Palya, BANGALORE Urban,KARNATAKA,INDIA","I am always interested in learning the answers to How, Why and What relating to Technologies around me and i want to create the thinks differently .
#UNIQUE",,2022-01-02T15:54:33Z
Username_47218,Bangalore,Microsoft Certified Data Analyst | PL-300 | Business Analyst | Data Visualization | Tableau | Advanced Excel | PowerBI | Python | SQL | Agile | Jira | Advanced ,she/her,2022-01-02T15:59:56Z
Username_47219,Binance Smart Chain,"SpaceCat is a deflationary, reflection token deployed on the Binance Smart Chain (BSC) Contract Address: 0x2De05c1bc3330BBFcba89f878f799eD65c87Dc22",,2022-01-02T15:50:01Z
Username_47220,"Lisbon, Portugal",Data Science Student at ISCTE,,2022-01-02T15:56:34Z
Username_47221,"Campinas, Brazil",A lawyer that is now a Python enthusiast (self-learner).,,2022-01-02T15:55:20Z
Username_47222,bangladesh,I AM A DEVELOPER,,2022-01-02T15:58:58Z
Username_47223,Canada ,Looking for BTC updates,,2022-01-02T15:50:29Z
Username_47224,"Dhaka, Bangladesh","lifelong learner. 
always trying new stuff!",,2022-01-02T15:56:53Z
Username_47225,Amman Jordan,"I design stuff and try to code them.
I also know these things:
ReactJS | VueJS | Laravel | Flutter | ReactNative | Statamic CMS 
",Kra/tos,2022-01-02T16:08:38Z
Username_47226,Ribeirão Preto,Sou uma pessoa interessada em tecnologia.,,2022-01-02T16:03:21Z
Username_47227,Italy,"Discord: https://discord.gg/rxH8Vn5Snr
Minecraft: play.neptunemc.ga",,2022-01-02T16:09:10Z
Username_47228,Marblefalls,A almost shy only because my trust has been taking advantage of ,,2022-01-02T16:01:59Z
Username_47229,Bhopal Madhya Pradesh,"My name is Vishal Verma currently, pursuing B.tech In Electronics and communication engineering (2nd Year).I am a full stack Mern Web developer . ",he/him,2022-01-02T16:08:47Z
Username_47230,"Messina, Italy","Hi everybody!Nice to meet you here!I'm a full stack developer using js and ts, and i'm also learning solidity for blockchaint! Enjoy my public repositories! ^^",he/him,2022-01-02T16:01:35Z
Username_47231,Germany,CEO Biteno GmbH,,2022-01-02T16:00:11Z
Username_47232,"St. Petersburg, FL",www.linkedin.com/in/jkilkelly,,2022-01-02T16:06:53Z
Username_47233,La plata,"Soy estudiante de la carrera de Analista programador en la UNLP, developer Front end JR y un apasionado del arte y el diseño. Lo que más me identifica es el inv",,2022-01-02T16:09:43Z
Username_47234,Munich,"M.Sc. Information Technologies for the Built Environment - Technical University of Munich - AEC3 Germany
",,2022-01-02T16:16:23Z
Username_47235,Tangail,"As a CSE student, I possess a deep passion for web development and a strong desire to design and develop user-friendly websites and web applications.",,2022-01-02T16:18:41Z
Username_47236,"Edmonton, Alberta",It is my mission to do my best to teach you how to build professional quality apps for the Apple AppStore and Google Play Store and more.,,2022-01-02T16:14:48Z
Username_47237,"Mohammadpur, Dhaka-1207",I will try to become a senior developer in the next two years.,,2022-01-02T16:14:38Z
Username_47238, Kanazawa Institute of Technology,Novogene 2014.6 -- 2016.9 Cleerland Beijing 2016.9 -- 2017.9 ACCBBio 2017.9 -- present @ACCBBiotech,,2022-01-02T16:11:40Z
Username_47239,Majeed Colony ,"Hey, my name is Kawish I am a Student of a Bachelor's in Software Engineering and I am learning AI & SQL and Much More...",he/him,2022-01-02T16:15:14Z
Username_47240,Hisar Haryana India ,"Driven by curiosity and a desire to innovate, I am constantly seeking opportunities to explore and apply cutting-edge technologies to solve complex problems.",he/him,2022-01-02T16:14:22Z
Username_47241,"Rajshahi ,Bangladesh",BSc. Engineer ,,2022-01-02T16:19:12Z
Username_47242,Bangladesh,Web developer,,2022-01-02T16:16:07Z
Username_47243,"Dublin,Ireland","👋 Hey there! I'm Jovan Rodrigues
I'm a data enthusiast with 3+ years of experience in analytics, business intelligence, and data engineering. I love solving ",,2022-01-02T16:16:43Z
Username_47244,Uttara 9 Sector,Network Support Engineer....,,2022-01-02T16:12:21Z
Username_47245,São Paulo - SP,Desenvolvedor Front-End | JavaScript,,2022-01-02T16:24:29Z
Username_47246,"Delhi, India",Software Developer,he/him,2022-01-02T16:27:55Z
Username_47247,world,Nothing is impossible so go ahead.,,2022-01-02T16:29:42Z
Username_47248,"Santo André, SP",Paixão pela tecnologia! Graduado em Análise e Desenvolvimento de Sistemas. Conhecimentos em Front e Back-End. Em constante aprendizagem e atualização!,,2022-01-02T16:26:03Z
Username_47249,"Dhaka, Bangladesh","Front-end Developer || react js  Developer
HTML5, CSS3, tailwind CSS , Bootstrap, Javascript, react js, node js",,2022-01-02T16:26:14Z
Username_47250,Mumbai,Undergrad at IITB(India),,2022-01-02T16:24:09Z
Username_47251,Portugal,⚙ FiveM Configurator on lusondeㅤㅤㅤ ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ ☁ CEO of Lusonode - Internet & Hosting Solutions ,,2022-01-02T16:23:51Z
Username_47252,Hyderabad ,Ihavebetasupportworkz,,2022-01-02T16:28:45Z
Username_47253,NIgeria,@OSSDAO-ORG•AIRDROP-0x48902B5e209215BF6c9212c796B8127eF7c585C5,,2022-01-02T16:25:46Z
Username_47254,Pakistan,I am shemail <<<<WOW>>>>,,2022-01-02T16:24:30Z
Username_47255,Germany,Tell me something you wish you would've known before engaging in Software-Development.,,2022-01-02T16:28:09Z
Username_47256,Noida,"Software Developer at C-DAC, Noida",,2022-01-02T16:29:55Z
Username_47257,"Jiujiang City,Nanchang,China",Science and Technology College of NCHU,,2022-01-02T16:23:06Z
Username_47258,Alexandria,Fullstack .NET Developer,he/him,2022-01-02T16:29:06Z
Username_47259,~/,Bug Bounty Hunter & Linux Enthusiast,,2022-01-02T16:38:50Z
Username_47260,Bangladesh,Serious & sincere,,2022-01-02T16:36:48Z
Username_47261,Purnea College of Engineering,A Journey to Excellence | Purnea College Of Engineering | Managed by @coder-harsh,,2022-01-02T16:31:23Z
Username_47262,Sri Lanka,Front-end wizard 🧙‍♂️ | React master ⚛️ | Tech adventurer ⚡️ | Unleashing digital sorcery with React 🪄 | Crafting user experiences with a sprinkle of humor 😄,he/him,2022-01-02T16:37:37Z
Username_47263,Bangladesh,Web Developer,,2022-01-02T16:37:45Z
Username_47264,"Mohammadpur,Dhaka-1207","
Hello, I am Tanver Sobur, Certified and Experienced Web Design & Developer . Working a Professional Junior Web developer.",,2022-01-02T16:33:28Z
Username_47265,"Dhaka, Bangladesh",Nothing is impossible,,2022-01-02T16:30:05Z
Username_47266,Columbus,"I am a determined CS student at The Ohio State University, with a minor in Business.
",he/him,2022-01-02T16:36:33Z
Username_47267,INDIA,"Self-learned Psychologist  
Trying to make people's life better 
Philosopher

",he/him,2022-01-02T16:32:26Z
Username_47268,FJXM,internet of things student,,2022-01-02T16:36:28Z
Username_47269,PA,Student,,2022-01-02T16:32:29Z
Username_47270,"Dhaka, Bangladesh.","""All praise is due to Allah, Lord of the Universe--""Quran(1:2)"". I am who as I was and Allah is the most merciful.",Developer,2022-01-02T16:45:46Z
Username_47271,Bangladesh,I'm passionate About Graphic Design And Front-End Web Development.I enjoy creative designing & I am interested in learning new technology.,,2022-01-02T16:45:29Z
Username_47272,San Francisco,"Hi I am Joe, I build things.",,2022-01-02T16:40:14Z
Username_47273,"Jamalpur,Mymensingh,Bangladesh",web developer,,2022-01-02T16:41:36Z
Username_47274,oran,Hey ! It's Sam a Computer Science student :) ,,2022-01-02T16:45:11Z
Username_47275,Russia,"Web developer with 1.5 years development experience.
skills: python Django HTML CSS SQlite3 MySQL 
also familiar with OOP",,2022-01-02T16:49:36Z
Username_47276,"Noida, UP",Fullstack | Frontend | Backend Web development based on Javascript and related Technologies.,,2022-01-02T16:48:52Z
Username_47277,Oradea,"Just passionate about programming, trying to do a major professional change towards developing software.",,2022-01-02T16:43:06Z
Username_47278,Delhi,"Artificial Intelligence engineer with a passion for AR tech, gaming, and programming. Enthusiast of global tech innovations, game development, and fiction story",he/him,2022-01-02T16:48:33Z
Username_47279,India,"A Coder 
-Minecraft Plugins
- Java / C++
- Python / Ruby",he/him,2022-01-02T16:43:03Z
Username_47280,Egypt,React Js Developer & Lifetime learner.,,2022-01-02T16:59:41Z
Username_47281,Brasília - DF,Computer Science Student at IFB.,,2022-01-02T16:58:34Z
Username_47282,Japan,Java guy,,2022-01-02T16:58:03Z
Username_47283," Dhaka, Bangladesh","Jr. Mern Stack Developer
",he/him,2022-01-02T16:56:11Z
Username_47284,Hyderabad  Telangana,"I like to learn new technology. And  
I love java. ",he/him,2022-01-02T16:51:15Z
Username_47285,Jhansi,Programmer | Developer | Learner,,2022-01-02T16:55:49Z
Username_47286,"Buenos Aires, Argentina",Newbie,,2022-01-02T16:55:08Z
Username_47287,اینو یعقوب ژ,"
قلاب غبذ
",,2022-01-02T16:59:58Z
Username_47288,Bangalore,Java full stack developer ,,2022-01-02T16:54:25Z
Username_47289,Brasília - DF,Estagiaria em Desenvolvimento Java  | Ciência da Computação - Universidade Católica de Brasília,,2022-01-02T17:04:29Z
Username_47290,Bangladesh,"Web developer experienced in HTML, CSS, JS, Redux, React, and Express. Passionate about clean code and high-quality projects. Seeking new opportunities. ",he/him,2022-01-02T17:04:34Z
Username_47291,India,A passionate Computer Science Engineering student having eagerness to learn Web Development,he/him,2022-01-02T17:08:15Z
Username_47292,"Nikunj-2,Dhaka,Bangladesh","Font-End Web Developer | JavaScript, React, Firebase | Currently focused on Express.js & MongoDB | On a journey to become a Full-Stack Developer 🚀",he/him,2022-01-02T17:06:36Z
Username_47293,Prague,"
",,2022-01-02T17:09:13Z
Username_47294,"Dhaka, Bangladesh","Hello, This is AJ Web Developer. We are Web Developer in Bangladesh.  Contact us zahidul891391@gmail.com",,2022-01-02T17:08:58Z
Username_47295,Bhopal,"NIT Bhopal BTech CSE'25
Small Wonders Sr. Sec. School, Jabalpur
General Secretary IEEE MSB
Chess || Travelling || Mythology || Data Science",he/him,2022-01-02T17:01:04Z
Username_47296,Latvia, JAVA | Software Developer,,2022-01-02T17:03:06Z
Username_47297,Manaus,The best five projects from github.,,2022-01-02T17:08:49Z
Username_47298,New Delhi,Tech enthusiast,he/him,2022-01-02T17:07:34Z
Username_47299,"Gdynia, PL",PhD in art learning to code. Interested in machine learning and all things generative. ,,2022-01-02T17:08:08Z
Username_47300,Hyderabad,Undergraduate Student(Computer Science),,2022-01-02T17:01:51Z
Username_47301,Bragança,Wildlife Biologist,,2022-01-02T17:08:21Z
Username_47302,Internet,Just a person in the public. ,,2022-01-02T17:09:48Z
Username_47303,Ústí nad Labem,Playin' b-ball🏀,,2022-01-02T17:08:12Z
Username_47304,"Saudi Arabia, Riyadh","I am a computer science student at the University of the people,
and learning Software Engineering @ ALX.
I am interested in becoming a Full Stake Developer",,2022-01-02T17:06:40Z
Username_47305,Cianjur,Libra,,2022-01-02T17:08:21Z
Username_47306,Hungary,a literal fucking noob,,2022-01-02T17:01:11Z
Username_47307,Kigali,"#full-stack magician: making things disappear from the database and reappear in the UI. ✨
#speak JavaScript, Python, and a bit of sarcasm😅.
",he/him,2022-01-02T17:10:15Z
Username_47308,"Goiânia, Goias - Brazil","Olá, seja bem-vindo(a) ao meu perfil! Sou Joe, um desenvolvedor de software entusiasmado em explorar o mundo da programação e buscar soluções inovadoras ",he/him,2022-01-02T17:13:08Z
Username_47309,"Germany, Kaltenkirchen",IT specialist for application development,he/him,2022-01-02T17:14:42Z
Username_47310,"Islington, London","Lover of Marvel, DC, Star Wars, and Comics and sometimes a coder.",,2022-01-02T17:17:57Z
Username_47311,Lucknow,"As a fresher, I am eager to apply my theoretical knowledge to practical situations and further enhance my skills under the guidance of experienced professionals",he/him,2022-01-02T17:16:23Z
Username_47312,A very sus location,People told me I'm really sus.,,2022-01-02T17:14:39Z
Username_47313,Addis Ababa,"I am Mintesnot. I am deeply passionate about AI and possess a solid foundation in
machine learning, data science, and Python backend technologies like Django..",he/him,2022-01-02T17:17:20Z
Username_47314,kolkata,"Suman Ghara, a passionate Computer Science student, ventures into the realms of code to unravel the mysteries of technology. ",,2022-01-02T17:11:12Z
Username_47315,finland,cs student,she/her,2022-01-02T17:19:41Z
Username_47316,"Jamshedpur, India","Android Developer - 
Software Engineer",,2022-01-02T17:19:59Z
Username_47317,Greece,NFTs salesman and Project Investor,,2022-01-02T17:15:36Z
Username_47318,Africa,I'm an engineer,,2022-01-02T17:18:58Z
Username_47319,Lviv,"I am a Junior Automation/Manual Quality Assurance Engineer with over a year of experience in testing web, Mobile, hardware, and native applications manually and",,2022-01-02T17:14:27Z
Username_47320,remote,"Nocturnal Nerd
01001000 01101111 01110111 01100100 01111001",,2022-01-02T17:26:21Z
Username_47321,Worldwide,"My name is Giorgio, but everybody calls me Gio. 

Nomadic designer creating the coolest solutions.",,2022-01-02T17:29:05Z
Username_47322,"Murrieta, California",Full Stack Developer,,2022-01-02T17:21:22Z
Username_47323,"Chittagong, Bangladesh","Hi, I am Mobarak Hossen, I am also a MERN-stack Web-developer from Chittagong, Bangladesh.Focus on javascript,React,Redux,Rest-API",,2022-01-02T17:27:04Z
Username_47324,Jordan,A pharmacist with passion in Data analysis,,2022-01-02T17:26:06Z
Username_47325,"Middletown, NY","Full Stack Developer.  Versed in .NET (Framework, Core), JS frameworks (React, Angular).",,2022-01-02T17:27:41Z
Username_47326,Bangalore,"Senior Software Engineer at IBM
",,2022-01-02T17:28:45Z
Username_47327,Venezuela,"
Engineer, runner.",,2022-01-02T17:28:21Z
Username_47328,"Delhi, India","Front End Developer | UI UX Designer | Figma  | Adobe XD | React Native Developer | React JS | Next JS 
",he/him,2022-01-02T17:29:39Z
Username_47329,Italy,"Student at the University of Computer Science in Camerino. 
Passionate about Programming , Gaming and other. 
Italy, 21. 
Alessio Giacché",,2022-01-02T17:38:24Z
Username_47330,Brasilia-DF,Bacharel em Sistemas de Informação - UCB,he/him,2022-01-02T17:34:20Z
Username_47331,"Alexandria, Egypt","A computer vision engineer with passion in machine learning and computer vision. Experienced in building machine learning, deep learning algorithms",,2022-01-02T17:34:26Z
Username_47332,Karnataka ,NITk'25 || CSE,,2022-01-02T17:30:19Z
Username_47333,Primorsky urban - type settlement,"The fact is that I don't know English well, but I will try to understand everything or something)
p.s. Russian",he/him,2022-01-02T17:33:14Z
Username_47334,"Savar,Dhaka.",I am Android App Developer & Web developer,,2022-01-02T17:31:06Z
Username_47335,Lithuania,"19
VU",she/her,2022-01-02T17:36:07Z
Username_47336,"Barishal,Bangladesh.","Hi I am Najmun Nahar,a professional front-end developer.",,2022-01-02T17:33:29Z
Username_47337,tu seras pas ;),"Dev web / FiveM 

",,2022-01-02T17:31:09Z
Username_47338,HongKong,"HKUST ECE Year2 Student
learning in C++ and Python",,2022-01-02T17:31:23Z
Username_47339,Bangalore,"I am a highly successful cloud professional with expertise in Devops Docker and Kubernetes.
",,2022-01-02T17:31:50Z
Username_47340,"Pabna, Bangladesh","I'm Palash, Dynamic and innovative professional with 5+ years of invaluable hands-on experience in Graphic Design and Printing industry.",,2022-01-02T17:30:09Z
Username_47341,Bangalore,its mostly a learning portal.,,2022-01-02T17:36:30Z
Username_47342,Coimbra - Portugal,"Atualmente cursando Bootcamp Multicloud de AWS, Microsoft Azure, Google e Oracle Cloud e DevOps",,2022-01-02T17:40:10Z
Username_47343,Munich,"Frontend Developer. I’m on a continuous journey of learning and improvement, consistently exploring new technologies and best practices in web development",,2022-01-02T17:49:34Z
Username_47344,"Brasov, Romania","Odoo Developer
",,2022-01-02T17:44:22Z
Username_47345,Rio de Janeiro,"Estudante iniciante dos cursos de  HTML, CSS, Python e GIT\Github do Curso em vídeo(YT). ",,2022-01-02T17:44:41Z
Username_47346,"Bishkek, Kyrgyzstan",daniarabykeev,,2022-01-02T17:49:31Z
Username_47347,"HoChiMinh city ,VietNam","Hi, I'm Huy.  I'm a student at FPT Polytechnic
My major is software application, nice to meet you",he/him,2022-01-02T17:49:17Z
Username_47348,Brazil,I Strived,,2022-01-02T17:40:41Z
Username_47349,UK,I am a new software engineer learning my way through the web!,he/him,2022-01-02T17:48:54Z
Username_47350,Mumbai,IITB'25,he/him,2022-01-02T17:41:42Z
Username_47351,"istanbul,Türkiye","Next generation life experience, Virtual Store, Digital Marketing and Gaming metaverse on Polygon Smartchain.",,2022-01-02T17:42:56Z
Username_47352,Copenhagen Denmark,Epidemiologist,,2022-01-02T17:49:57Z
Username_47353,"New delhi, India",I am a first year MCA student looking for opportunities to harness my knowledge,,2022-01-02T17:45:45Z
Username_47354,Tehran - Iran,python programmer | Backed developer ,,2022-01-02T17:58:44Z
Username_47355,"Lahore, Pakistan","I'm a seasoned Full Stack Developer. My GitHub isn't a treasure of projects. Maybe it is, but for sure each line of code is a testament to my dedication.",he/him,2022-01-02T17:57:05Z
Username_47356,"Cancun, Mexico",Backend Developer and DevOps Engineer at @PakCore ,he/him,2022-01-02T17:51:31Z
Username_47357,Jupitor,"👋 Passionate Front-end Developer crafting user-friendly web experiences with creativity, precision, and dedication.",he/him,2022-01-02T17:50:52Z
Username_47358,"Chittagong,Bangladesh","Web Developer || Department of CSE , Premier University, chattogram, Bangladesh.",,2022-01-02T17:56:39Z
Username_47359,India,"My GitHub profile is a showcase of my coding skills and contributions, demonstrating my passion for innovation and collaboration in software development.",,2022-01-02T17:58:54Z
Username_47360,Saint-Petersburg,"ITMO CT M3236 Student
Java Enjoyer",,2022-01-02T17:59:55Z
Username_47361,Pristina,Just a guy trying to build meaningful things that make people's lives easier.,,2022-01-02T17:56:54Z
Username_47362,Germany,Puzzle/Level designer for the Portal 2 mod Aperture: Salt Mines.,she/it/(ask),2022-01-02T17:56:33Z
Username_47363,"Warsaw, Poland",I'm an IT engineer and manager with experience in designing and implementing a digital strategy for small and medium businesses.,,2022-01-02T17:56:16Z
Username_47364,"Mumbai, India",Full Stack Next.Js Developer,he/him,2022-01-02T18:00:37Z
Username_47365,"Karachi, Pakistan",Undergraduate Software Engineering Student at NED University,,2022-01-02T18:08:30Z
Username_47366,Spain,JS,,2022-01-02T18:03:45Z
Username_47367,"Dhaka, Bangladesh",I am always learning and have a strong passion for  programming.,,2022-01-02T18:07:46Z
Username_47368,"Dhaka, Bangladesh","""Experienced Front-End Developer with a passion for creating dynamic and visually appealing websites. And aspiring to be a full-stack developer MERN""",,2022-01-02T18:08:11Z
Username_47369,"Cuiabá, Brasil",Se vis pacem para bellum,,2022-01-02T18:03:16Z
Username_47370,India,I make computer do the Maths. ,,2022-01-02T18:07:25Z
Username_47371,"73, Falkner Terrace, 151 Upper Parliament St, Liverpool L8 7LD, United Kingdom","As a website developer, I specialize in creating dynamic and visually appealing online experiences. Proficient in HTML, CSS, and JavaScript, I leverage my skill",she/her,2022-01-02T18:09:23Z
Username_47372,Germany,coding yeah,,2022-01-02T18:00:39Z
Username_47373,thailand,"i hate Monday, and hate you like you do
still no works , i love my gf.",,2022-01-02T18:01:31Z
Username_47374,"Shennan Avenue, Science and Technology Park Community, Yuehai Street, Nanshan District, Shenzhen, Guangdong Province, 518000, China",Shenzhen University/major in AI，I am eager to learn on GitHub and contribute my part to this community.,he/him,2022-01-02T18:07:39Z
Username_47375,Niterói/RJ,"I describe myself as a digital data addict and, because of that, I'm studying to become a Data Scientist in the near future.",,2022-01-02T18:13:40Z
Username_47376,"Iran,ahwaz","Html & Css /
Javascrpit & React.js /
SEO & Wordpress /
",he/him,2022-01-02T18:17:26Z
Username_47377,"Seattle, WA","Full-Stack Software Developer passionate to be the positive change in other people's lives with my knowledge of Javascript, Python, Java & global perspective!",,2022-01-02T18:18:07Z
Username_47378,India,Endlessly learning and improving 🚀 Open Source 🌟,,2022-01-02T18:18:49Z
Username_47379,Alger - Algerie ,"Hi, I’m Bilel Miloudi, a cybersecurity enthusiast with a background in computer science. My journey includes hands-on experience in web development, networking,",,2022-01-02T18:12:01Z
Username_47380,"Thessaloniki, Greece","Student at the University of Western Macedonia, department of Informatics.",he/him,2022-01-02T18:16:30Z
Username_47381,VN,"Hi there, i am student at @VNU2 - Vietnam National University 2",she/her,2022-01-02T18:10:54Z
Username_47382,"Narayanganj, Dhaka, Bangladesh",i'm a forward-thinking web developer dedicated to innovation in digital world and want to make something innovative with AI.,,2022-01-02T18:13:11Z
Username_47383,"Zurich, Switzerland",Physics MSc student @ ETHZ,he/him,2022-01-02T18:14:55Z
Username_47384,"Montreal, Canada.","Hello World! I am an SE working at Watermelon Technology. I am totally fascinated by technology, and what it can do for us every day.",he/him,2022-01-02T18:14:42Z
Username_47385,Slovenia,catch me if you can,he/him,2022-01-02T18:17:21Z
Username_47386,"Dhaka,Bangladesh",Future Software Engineer ,,2022-01-02T18:15:55Z
Username_47387,"São Paulo, SP ","- Swift 
- SwiftUI
- JavaScript
- Objective C",,2022-01-02T18:17:15Z
Username_47388,India,DigitalCurrency,,2022-01-02T18:19:21Z
Username_47389,Germany,"Simpor is pimple
",,2022-01-02T18:12:36Z
Username_47390,Dhaka,I'm professional web developer.,,2022-01-02T18:23:33Z
Username_47391,Brazil,"Hey! I'm Gab, a 23yo Computer Science undergrad.",he/him,2022-01-02T18:28:57Z
Username_47392,Brasília,"Sou o Pablo, tenho 22 anos de idade e  sou estudante de Análise e Desenvolvimento de Sistemas, atuo na área de front-end, estou me especializando em outras área",,2022-01-02T18:22:02Z
Username_47393,中国广西柳州,this is Tse bim's GitHub,,2022-01-02T18:24:57Z
